,Unnamed: 0,Unnamed: 0.1,price
0,0,0,1799.0
1,1,1,1799.0
2,2,2,10990.0
3,3,3,1799.0
4,4,4,699.0
5,5,5,999.0
6,6,6,1999.0
7,7,7,1899.0
8,8,8,1199.0
9,9,9,
10,10,10,1099.0
11,11,11,799.0
12,12,12,999.0
13,13,13,999.0
14,14,14,749.0
15,15,15,5615.0
16,16,16,899.0
17,17,17,999.0
18,18,18,1299.0
19,19,19,1099.0
20,20,20,599.0
21,21,21,1999.0
22,22,22,1299.0
23,23,23,1299.0
24,24,24,1299.0
25,25,25,749.0
26,26,26,1199.0
