,Title,Lifetime_Grossing
134,Man of Steel,"$668,045,518"
135,Ice Age: The Meltdown,"$667,094,506"
136,Kung Fu Panda 2,"$665,692,281"
137,The Hunger Games: Mockingjay - Part 2,"$658,344,137"
138,Justice League,"$657,926,987"
139,Big Hero 6,"$657,869,686"
140,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901"
141,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015"
142,Star Wars: Episode II - Attack of the Clones,"$653,779,970"
143,Thor: The Dark World,"$644,783,140"
144,Moana,"$643,696,186"
145,Sing,"$634,208,384"
146,Kung Fu Panda,"$631,746,197"
147,The Incredibles,"$631,607,053"
148,The Martian,"$630,162,448"
149,Hancock,"$629,443,428"
150,Fast Five,"$626,137,675"
151,Men in Black 3,"$624,026,776"
152,Iron Man 2,"$623,933,331"
153,Ratatouille,"$623,726,085"
154,Ant-Man and the Wasp,"$622,674,139"
155,How to Train Your Dragon 2,"$621,537,519"
156,Logan,"$619,179,950"
157,The Lost World: Jurassic Park,"$618,638,999"
158,Casino Royale,"$616,502,912"
159,The Passion of the Christ,"$612,054,506"
160,Mamma Mia!,"$611,257,819"
161,Life of Pi,"$609,016,565"
162,Transformers: The Last Knight,"$605,425,157"
163,Madagascar: Escape 2 Africa,"$603,900,354"
164,War of the Worlds,"$603,873,119"
165,Tangled,"$592,462,816"
166,Quantum of Solace,"$589,580,482"
167,Men in Black,"$589,390,539"
168,The Croods,"$587,235,983"
169,The Hangover Part II,"$586,764,305"
170,Iron Man,"$585,796,247"
171,I Am Legend,"$585,410,052"
172,Ready Player One,"$582,893,671"
173,"Monsters, Inc.","$579,707,738"
174,Operation Red Sea,"$579,330,426"
175,Night at the Museum,"$574,481,229"
176,Fifty Shades of Grey,"$569,651,467"
177,Kong: Skull Island,"$566,652,812"
178,The Smurfs,"$563,749,323"
179,Cars 2,"$559,852,396"
180,King Kong,"$556,906,378"
181,Puss in Boots,"$554,987,477"
182,Mei ren yu,"$553,810,228"
183,Armageddon,"$553,709,788"
184,The Day After Tomorrow,"$552,639,571"
185,Ted,"$549,368,315"
186,American Sniper,"$547,426,372"
187,Mission: Impossible II,"$546,388,108"
188,Detective Chinatown 2,"$544,185,156"
189,X-Men: Apocalypse,"$543,934,105"
190,Sherlock Holmes: A Game of Shadows,"$543,848,418"
191,Despicable Me,"$543,113,985"
192,Cinderella,"$542,358,331"
193,Madagascar,"$542,063,846"
194,World War Z,"$540,455,876"
195,Brave,"$538,983,207"
196,Star Wars: Episode V - The Empire Strikes Back,"$538,375,067"
197,The Simpsons Movie,"$536,414,293"
198,The Revenant,"$532,950,503"
199,The Meg,"$530,259,473"
